,Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
132601,7529361,E12000002,H,3,1,2,5,4,2,1,2,1,2,1,9,5,1,4
478016,7885683,E12000007,H,2,1,1,1,1,1,2,2,1,2,-9,-9,-9,-9,-9
122132,7519245,E12000008,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
170524,7567993,E12000006,H,1,1,1,8,5,2,2,3,1,2,5,9,8,-9,2
192839,7592889,E12000006,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
182935,7583548,E12000008,H,2,1,1,3,2,2,1,2,1,2,1,2,3,3,1
153468,7553523,E12000008,H,2,1,2,3,2,2,2,1,1,2,1,2,8,3,1
252119,7651109,E12000006,H,2,1,2,7,2,2,1,2,1,1,5,6,10,-9,4
122280,7520377,E12000008,H,2,1,1,5,2,2,1,1,1,2,2,3,4,3,2
134531,7529447,E12000002,H,3,1,1,5,4,2,1,2,1,2,1,8,2,3,4
446809,7847734,E12000003,H,2,1,1,2,1,2,1,1,1,1,1,1,2,3,2
519500,7918132,E12000007,H,2,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
175172,7574163,E12000009,H,2,1,2,2,1,2,1,2,1,2,1,5,5,3,3
441606,7841774,E12000003,H,2,1,2,4,2,2,1,2,1,9,1,9,10,1,4
221019,7620345,E12000002,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
324825,7726400,E12000008,H,1,1,2,8,4,2,1,3,1,2,5,7,4,-9,4
247519,7648770,E12000006,H,2,1,2,4,2,2,1,1,1,1,2,1,4,4,2
26352,7418736,E12000004,H,1,1,1,6,1,2,1,2,1,1,1,9,6,3,3
403431,7800800,E12000005,H,1,1,1,5,2,2,2,2,4,2,1,6,8,4,3
100292,7496027,E12000002,H,2,1,2,8,2,2,1,3,1,2,5,9,8,-9,4
360434,7764697,E12000002,H,2,1,1,7,2,2,1,2,1,2,5,3,7,-9,2
108722,7503359,E12000009,H,2,1,1,4,2,2,1,5,1,1,2,1,4,4,1
69209,7464936,E12000008,H,1,1,1,3,1,2,1,1,1,2,1,3,4,3,2
235477,7634026,E12000004,H,3,1,1,3,1,2,1,1,1,2,1,2,2,3,1
140579,7540752,E12000004,H,2,1,1,6,2,2,1,1,1,2,5,3,2,-9,2
487904,7892368,E12000007,H,2,1,1,4,2,2,2,1,1,9,1,1,6,4,2
201782,7601133,E12000006,H,3,1,2,5,4,2,1,4,1,2,8,-9,-9,-9,2
252194,7652908,E12000006,H,2,1,2,4,2,2,1,1,1,1,7,1,3,-9,3
192346,7589047,E12000008,H,5,1,2,5,4,2,1,2,1,2,1,4,4,3,2
286752,7687175,E12000005,H,2,1,2,5,2,2,1,3,1,1,1,3,10,3,2
71092,7466836,E12000008,H,2,1,1,2,1,1,1,2,1,2,6,-9,-9,-9,2
42945,7442161,E12000009,H,2,1,1,6,2,2,1,1,1,2,1,3,12,1,2
355846,7755992,E12000002,H,2,1,1,6,2,2,1,1,1,2,1,9,9,3,4
371820,7773904,E12000002,H,3,1,2,6,1,2,1,3,1,9,1,4,9,2,2
223944,7620933,E12000002,H,2,1,1,5,2,2,1,1,1,2,2,3,8,2,2
337297,7733859,E12000002,H,3,1,2,4,1,2,1,1,1,2,2,6,12,3,3
326183,7727357,E12000008,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
281434,7681976,E12000009,H,2,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
422671,7829110,E12000003,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
197113,7596331,E12000006,H,2,1,2,5,2,2,1,1,1,2,1,6,6,1,3
131845,7529547,E12000002,H,2,1,2,6,2,2,1,2,1,2,2,1,4,3,2
107011,7503897,E12000009,H,2,1,2,8,2,2,1,3,1,2,5,5,5,-9,4
